"","word","AAD.freq","AAD.prop","TLS.freq","TLS.freq","dProp","dAbs"
"46","year",22,0.0873015873015873,131,0.047985347985348,0.0393162393162393,0.0393162393162393
"47","worship",11,0.0436507936507936,12,0.0043956043956044,0.0392551892551893,0.0392551892551893
"48","star",12,0.0476190476190476,24,0.00879120879120879,0.0388278388278388,0.0388278388278388
"49","home",14,0.0555555555555556,48,0.0175824175824176,0.037973137973138,0.037973137973138
"50","son",13,0.0515873015873016,38,0.0139194139194139,0.0376678876678877,0.0376678876678877
"51","etern",10,0.0396825396825397,6,0.0021978021978022,0.0374847374847375,0.0374847374847375
"52","activ",10,0.0396825396825397,8,0.00293040293040293,0.0367521367521367,0.0367521367521367
"53","point",5,0.0198412698412698,152,0.0556776556776557,-0.0358363858363858,0.0358363858363858
"54","wast",10,0.0396825396825397,12,0.0043956043956044,0.0352869352869353,0.0352869352869353
"55","dark",8,0.0317460317460317,181,0.0663003663003663,-0.0345543345543346,0.0345543345543346
"56","fallen",10,0.0396825396825397,14,0.00512820512820513,0.0345543345543345,0.0345543345543345
"57","exist",13,0.0515873015873016,49,0.0179487179487179,0.0336385836385836,0.0336385836385836
"58","rank",9,0.0357142857142857,6,0.0021978021978022,0.0335164835164835,0.0335164835164835
"59","just",13,0.0515873015873016,232,0.084981684981685,-0.0333943833943834,0.0333943833943834
"60","cast",9,0.0357142857142857,7,0.00256410256410256,0.0331501831501832,0.0331501831501832
"61","day",16,0.0634920634920635,83,0.0304029304029304,0.0330891330891331,0.0330891330891331
"62","holi",11,0.0436507936507936,29,0.0106227106227106,0.033028083028083,0.033028083028083
"63","hebrew",9,0.0357142857142857,9,0.0032967032967033,0.0324175824175824,0.0324175824175824
"64","even",12,0.0476190476190476,217,0.0794871794871795,-0.0318681318681319,0.0318681318681319
"65","power",11,0.0436507936507936,205,0.0750915750915751,-0.0314407814407814,0.0314407814407814
"66","concern",10,0.0396825396825397,24,0.00879120879120879,0.0308913308913309,0.0308913308913309
"67","void",10,0.0396825396825397,26,0.00952380952380952,0.0301587301587302,0.0301587301587302
"68","can",10,0.0396825396825397,190,0.0695970695970696,-0.0299145299145299,0.0299145299145299
"69","wing",8,0.0317460317460317,5,0.00183150183150183,0.0299145299145299,0.0299145299145299
"70","destroy",9,0.0357142857142857,16,0.00586080586080586,0.0298534798534799,0.0298534798534799
