"","word","absolute.frequency","relative.frequency"
"77","move",140,0.0512820512820513
"78","mysteri",139,0.0509157509157509
"79","across",139,0.0509157509157509
"80","chapter",138,0.0505494505494506
"81","come",138,0.0505494505494506
"82","final",137,0.0501831501831502
"83","began",135,0.0494505494505494
"84","noth",133,0.0487179487179487
"85","year",131,0.047985347985348
"86","get",130,0.0476190476190476
"87","place",129,0.0472527472527473
"88","take",128,0.0468864468864469
"89","mind",128,0.0468864468864469
"90","sound",127,0.0465201465201465
"91","made",127,0.0465201465201465
"92","never",126,0.0461538461538462
"93","katherineÂ",126,0.0461538461538462
"94","ask",125,0.0457875457875458
"95","help",125,0.0457875457875458
"96","key",125,0.0457875457875458
"97","think",124,0.0454212454212454
"98","realiz",124,0.0454212454212454
"99","two",123,0.0450549450549451
"100","reach",123,0.0450549450549451
"101","feel",122,0.0446886446886447
"102","insid",122,0.0446886446886447
"103","use",122,0.0446886446886447
"104","first",121,0.0443223443223443
"105","capitol",121,0.0443223443223443
"106","find",121,0.0443223443223443
"107","found",120,0.043956043956044
"108","need",120,0.043956043956044
"109","agent",118,0.0432234432234432
"110","human",117,0.0428571428571429
"111","wall",117,0.0428571428571429
"112","within",116,0.0424908424908425
"113","read",116,0.0424908424908425
"114","say",115,0.0421245421245421
"115","secur",114,0.0417582417582418
"116","smile",113,0.0413919413919414
"117","sudden",113,0.0413919413919414
"118","simkin",113,0.0413919413919414
"119","guard",112,0.041025641025641
"120","squar",112,0.041025641025641
"121","step",112,0.041025641025641
"122","make",112,0.041025641025641
"123","direct",110,0.0402930402930403
"124","old",110,0.0402930402930403
"125","solomonÂ",109,0.0399267399267399
"126","saw",109,0.0399267399267399
"127","pull",109,0.0399267399267399
"128","lost",107,0.0391941391941392
"129","side",106,0.0388278388278388
"130","behind",105,0.0384615384615385
"131","floor",105,0.0384615384615385
"132","close",104,0.0380952380952381
"133","new",102,0.0373626373626374
"134","exact",102,0.0373626373626374
"135","hidden",101,0.036996336996337
"136","took",101,0.036996336996337
"137","stop",100,0.0366300366300366
"138","capston",100,0.0366300366300366
"139","beneath",99,0.0362637362637363
"140","number",99,0.0362637362637363
"141","heard",99,0.0362637362637363
"142","work",98,0.0358974358974359
"143","mystic",98,0.0358974358974359
"144","tattoo",98,0.0358974358974359
"145","small",98,0.0358974358974359
"146","idea",98,0.0358974358974359
"147","mean",97,0.0355311355311355
"148","locat",97,0.0355311355311355
"149","glanc",96,0.0351648351648352
"150","mani",95,0.0347985347985348
"151","washington",95,0.0347985347985348
"152","well",95,0.0347985347985348
"153","breath",95,0.0347985347985348
"154","manÂ",94,0.0344322344322344
"155","clear",94,0.0344322344322344
"156","left",93,0.0340659340659341
"157","black",93,0.0340659340659341
"158","true",93,0.0340659340659341
"159","transform",93,0.0340659340659341
"160","everi",92,0.0336996336996337
"161","almost",91,0.0333333333333333
"162","night",90,0.032967032967033
"163","wait",90,0.032967032967033
"164","let",89,0.0326007326007326
"165","hope",88,0.0322344322344322
"166","away",87,0.0318681318681319
"167","whisper",87,0.0318681318681319
"168","alway",86,0.0315018315018315
"169","ever",86,0.0315018315018315
"170","window",86,0.0315018315018315
"171","entir",86,0.0315018315018315
"172","xth",85,0.0311355311355311
"173","front",85,0.0311355311355311
"174","templ",84,0.0307692307692308
"175","last",83,0.0304029304029304
"176","day",83,0.0304029304029304
"177","finger",83,0.0304029304029304
"178","order",83,0.0304029304029304
"179","scienc",82,0.03003663003663
"180","men",82,0.03003663003663
"181","air",82,0.03003663003663
"182","name",82,0.03003663003663
"183","appar",82,0.03003663003663
"184","repli",82,0.03003663003663
"185","feet",81,0.0296703296703297
"186","space",81,0.0296703296703297
"187","far",81,0.0296703296703297
"188","thing",81,0.0296703296703297
"189","understand",81,0.0296703296703297
"190","run",81,0.0296703296703297
"191","follow",80,0.0293040293040293
"192","appear",80,0.0293040293040293
"193","becom",79,0.0289377289377289
"194","cia",79,0.0289377289377289
"195","gaze",79,0.0289377289377289
"196","shout",79,0.0289377289377289
"197","sure",79,0.0289377289377289
"198","text",78,0.0285714285714286
"199","hold",78,0.0285714285714286
"200","nola",78,0.0285714285714286
"201","professor",77,0.0282051282051282
"202","kind",77,0.0282051282051282
"203","pod",77,0.0282051282051282
"204","stood",77,0.0282051282051282
"205","hous",76,0.0278388278388278
"206","howev",76,0.0278388278388278
"207","life",76,0.0278388278388278
"208","much",76,0.0278388278388278
"209","watch",76,0.0278388278388278
"210","ago",76,0.0278388278388278
"211","wisdom",76,0.0278388278388278
"212","end",75,0.0274725274725275
"213","reveal",74,0.0271062271062271
"214","box",74,0.0271062271062271
"215","sens",73,0.0267399267399267
"216","give",73,0.0267399267399267
"217","got",73,0.0267399267399267
"218","second",73,0.0267399267399267
"219","hard",73,0.0267399267399267
"220","arm",73,0.0267399267399267
"221","hide",73,0.0267399267399267
"222","search",73,0.0267399267399267
"223","three",72,0.0263736263736264
"224","bag",72,0.0263736263736264
"225","nod",71,0.026007326007326
"226","seen",71,0.026007326007326
"227","didnÂ",71,0.026007326007326
"228","director",70,0.0256410256410256
"229","keep",70,0.0256410256410256
"230","cell",70,0.0256410256410256
"231","legend",69,0.0252747252747253
"232","talk",69,0.0252747252747253
