"","word","absolute.frequency","relative.frequency"
"131","jesus",95,0.0365947611710324
"132","surpris",94,0.0362095531587057
"133","men",93,0.035824345146379
"134","pari",92,0.0354391371340524
"135","stare",92,0.0354391371340524
"136","nod",92,0.0354391371340524
"137","louvr",91,0.0350539291217257
"138","yes",91,0.0350539291217257
"139","glanc",91,0.0350539291217257
"140","second",91,0.0350539291217257
"141","leav",91,0.0350539291217257
"142","tomb",91,0.0350539291217257
"143","believ",89,0.0342835130970724
"144","whisper",89,0.0342835130970724
"145","heard",89,0.0342835130970724
"146","much",88,0.0338983050847458
"147","certain",88,0.0338983050847458
"148","close",87,0.0335130970724191
"149","gaze",87,0.0335130970724191
"150","gave",87,0.0335130970724191
"151","car",87,0.0335130970724191
"152","french",86,0.0331278890600925
"153","dei",86,0.0331278890600925
"154","opus",86,0.0331278890600925
"155","dont",86,0.0331278890600925
"156","beneath",85,0.0327426810477658
"157","reach",85,0.0327426810477658
"158","paus",85,0.0327426810477658
"159","walk",85,0.0327426810477658
"160","began",84,0.0323574730354391
"161","hold",84,0.0323574730354391
"162","magdalen",84,0.0323574730354391
"163","idea",83,0.0319722650231125
"164","noth",83,0.0319722650231125
"165","mean",82,0.0315870570107858
"166","might",82,0.0315870570107858
"167","step",82,0.0315870570107858
"168","stone",81,0.0312018489984592
"169","histori",81,0.0312018489984592
"170","life",80,0.0308166409861325
"171","bishop",80,0.0308166409861325
"172","must",79,0.0304314329738059
"173","watch",78,0.0300462249614792
"174","night",78,0.0300462249614792
"175","christ",78,0.0300462249614792
"176","almost",77,0.0296610169491525
"177","mani",76,0.0292758089368259
"178","good",76,0.0292758089368259
"179","bodi",76,0.0292758089368259
"180","code",74,0.0285053929121726
"181","book",74,0.0285053929121726
"182","gun",74,0.0285053929121726
"183","speak",74,0.0285053929121726
"184","arriv",74,0.0285053929121726
"185","entir",74,0.0285053929121726
"186","stood",74,0.0285053929121726
"187","took",74,0.0285053929121726
"188","wall",73,0.0281201848998459
"189","say",73,0.0281201848998459
