"","word","AAD.freq","AAD.prop","DVC.freq","DVC.freq","dProp","dAbs"
"56","home",14,0.0555555555555556,51,0.0196456086286595,0.0359099469268961,0.0359099469268961
"57","activ",10,0.0396825396825397,10,0.00385208012326656,0.0358304595592731,0.0358304595592731
"58","planet",10,0.0396825396825397,13,0.00500770416024653,0.0346748355222931,0.0346748355222931
"59","read",15,0.0595238095238095,65,0.0250385208012327,0.0344852887225769,0.0344852887225769
"60","present",11,0.0436507936507936,24,0.00924499229583975,0.0344058013549539,0.0344058013549539
"61","seem",8,0.0317460317460317,170,0.0654853620955316,-0.0337393303494998,0.0337393303494998
"62","christ",16,0.0634920634920635,78,0.0300462249614792,0.0334458385305843,0.0334458385305843
"63","cast",9,0.0357142857142857,7,0.00269645608628659,0.0330178296279991,0.0330178296279991
"64","worship",11,0.0436507936507936,28,0.0107858243451464,0.0328649693056473,0.0328649693056473
"65","order",13,0.0515873015873016,49,0.0188751926040062,0.0327121089832954,0.0327121089832954
"66","rank",9,0.0357142857142857,8,0.00308166409861325,0.0326326216156725,0.0326326216156725
"67","thing",14,0.0555555555555556,60,0.0231124807395994,0.0324430748159562,0.0324430748159562
"68","testament",9,0.0357142857142857,9,0.00346687211093991,0.0322474136033458,0.0322474136033458
"69","hebrew",9,0.0357142857142857,13,0.00500770416024653,0.0307065815540392,0.0307065815540392
"70","notic",9,0.0357142857142857,13,0.00500770416024653,0.0307065815540392,0.0307065815540392
"71","destroy",9,0.0357142857142857,14,0.00539291217257319,0.0303213735417125,0.0303213735417125
"72","may",11,0.0436507936507936,35,0.013482280431433,0.0301685132193607,0.0301685132193607
"73","human",10,0.0396825396825397,25,0.00963020030816641,0.0300523393743733,0.0300523393743733
"74","spiritu",10,0.0396825396825397,25,0.00963020030816641,0.0300523393743733,0.0300523393743733
"75","passag",8,0.0317460317460317,8,0.00308166409861325,0.0286643676474185,0.0286643676474185
"76","today",10,0.0396825396825397,29,0.011171032357473,0.0285115073250666,0.0285115073250666
"77","demon",8,0.0317460317460317,9,0.00346687211093991,0.0282791596350918,0.0282791596350918
"78","take",6,0.0238095238095238,134,0.051617873651772,-0.0278083498422481,0.0278083498422481
"79","even",12,0.0476190476190476,195,0.075115562403698,-0.0274965147846504,0.0274965147846504
"80","first",17,0.0674603174603175,105,0.0404468412942989,0.0270134761660185,0.0270134761660185
"81","limit",7,0.0277777777777778,5,0.00192604006163328,0.0258517377161445,0.0258517377161445
"82","concern",10,0.0396825396825397,36,0.0138674884437596,0.02581505123878,0.02581505123878
"83","physic",8,0.0317460317460317,16,0.0061633281972265,0.0255827035488052,0.0255827035488052
"84","day",16,0.0634920634920635,99,0.038135593220339,0.0253564702717245,0.0253564702717245
"85","wing",8,0.0317460317460317,18,0.00693374422187982,0.0248122875241519,0.0248122875241519
"86","live",11,0.0436507936507936,49,0.0188751926040062,0.0247756010467875,0.0247756010467875
"87","teach",7,0.0277777777777778,8,0.00308166409861325,0.0246961136791645,0.0246961136791645
"88","mention",9,0.0357142857142857,29,0.011171032357473,0.0245432533568127,0.0245432533568127
"89","countless",7,0.0277777777777778,10,0.00385208012326656,0.0239256976545112,0.0239256976545112
"90","sinc",9,0.0357142857142857,31,0.0119414483821263,0.0237728373321594,0.0237728373321594
"91","belong",7,0.0277777777777778,12,0.00462249614791988,0.0231552816298579,0.0231552816298579
"92","neither",7,0.0277777777777778,12,0.00462249614791988,0.0231552816298579,0.0231552816298579
"93","find",8,0.0317460317460317,142,0.0546995377503852,-0.0229535060043535,0.0229535060043535
"94","age",7,0.0277777777777778,13,0.00500770416024653,0.0227700736175312,0.0227700736175312
"95","presenc",7,0.0277777777777778,13,0.00500770416024653,0.0227700736175312,0.0227700736175312
"96","die",10,0.0396825396825397,44,0.0169491525423729,0.0227333871401668,0.0227333871401668
"97","natur",9,0.0357142857142857,35,0.013482280431433,0.0222320052828527,0.0222320052828527
"98","surround",7,0.0277777777777778,15,0.00577812018489985,0.0219996575928779,0.0219996575928779
"99","judgment",6,0.0238095238095238,5,0.00192604006163328,0.0218834837478905,0.0218834837478905
"100","want",5,0.0198412698412698,108,0.0416024653312789,-0.0217611954900091,0.0217611954900091
"101","come",16,0.0634920634920635,109,0.0419876733436055,0.0215043901484579,0.0215043901484579
"102","think",5,0.0198412698412698,107,0.0412172573189522,-0.0213759874776824,0.0213759874776824
"103","must",13,0.0515873015873016,79,0.0304314329738059,0.0211558686134957,0.0211558686134957
"104","holi",11,0.0436507936507936,165,0.0635593220338983,-0.0199085283831047,0.0199085283831047
"105","carri",11,0.0436507936507936,63,0.0242681047765794,0.0193826888742143,0.0193826888742143
"106","found",6,0.0238095238095238,112,0.0431432973805855,-0.0193337735710617,0.0193337735710617
"107","need",8,0.0317460317460317,131,0.050462249614792,-0.0187162178687602,0.0187162178687602
"108","forev",7,0.0277777777777778,24,0.00924499229583975,0.018532785481938,0.018532785481938
"109","six",7,0.0277777777777778,24,0.00924499229583975,0.018532785481938,0.018532785481938
"110","mile",6,0.0238095238095238,14,0.00539291217257319,0.0184166116369506,0.0184166116369506
"111","point",5,0.0198412698412698,99,0.038135593220339,-0.0182943233790691,0.0182943233790691
"112","servant",6,0.0238095238095238,15,0.00577812018489985,0.018031403624624,0.018031403624624
"113","begin",7,0.0277777777777778,26,0.0100154083204931,0.0177623694572847,0.0177623694572847
"114","beyond",7,0.0277777777777778,26,0.0100154083204931,0.0177623694572847,0.0177623694572847
"115","flesh",7,0.0277777777777778,26,0.0100154083204931,0.0177623694572847,0.0177623694572847
"116","compani",5,0.0198412698412698,6,0.00231124807395994,0.0175300217673099,0.0175300217673099
"117","cloud",5,0.0198412698412698,7,0.00269645608628659,0.0171448137549832,0.0171448137549832
"118","food",5,0.0198412698412698,7,0.00269645608628659,0.0171448137549832,0.0171448137549832
"119","univers",6,0.0238095238095238,18,0.00693374422187982,0.016875779587644,0.016875779587644
"120","though",6,0.0238095238095238,19,0.00731895223420647,0.0164905715753173,0.0164905715753173
"121","throughout",5,0.0198412698412698,9,0.00346687211093991,0.0163743977303299,0.0163743977303299
