"","word","DVC.freq","DVC.prop","TLS.freq","TLS.freq","dProp","dAbs"
"40","old",38,0.0146379044684129,110,0.0402930402930403,-0.0256551358246274,0.0256551358246274
"41","vatican",71,0.0273497688751926,5,0.00183150183150183,0.0255182670436908,0.0255182670436908
"42","floor",165,0.0635593220338983,105,0.0384615384615385,0.0250977835723598,0.0250977835723598
"43","guard",42,0.0161787365177196,112,0.041025641025641,-0.0248469045079215,0.0248469045079215
"44","truck",69,0.0265793528505393,6,0.0021978021978022,0.0243815506527371,0.0243815506527371
"45","mind",59,0.0227272727272727,128,0.0468864468864469,-0.0241591741591742,0.0241591741591742
"46","woman",100,0.0385208012326656,40,0.0146520146520147,0.023868786580651,0.023868786580651
"47","grand",69,0.0265793528505393,8,0.00293040293040293,0.0236489499201364,0.0236489499201364
"48","stone",81,0.0312018489984592,148,0.0542124542124542,-0.023010605213995,0.023010605213995
"49","box",130,0.0500770416024653,74,0.0271062271062271,0.0229708144962382,0.0229708144962382
"50","bodi",76,0.0292758089368259,142,0.052014652014652,-0.0227388430778261,0.0227388430778261
"51","word",138,0.0531587057010786,207,0.0758241758241758,-0.0226654701230972,0.0226654701230972
"52","just",162,0.0624036979969183,232,0.084981684981685,-0.0225779869847667,0.0225779869847667
"53","director",8,0.00308166409861325,70,0.0256410256410256,-0.0225593615424124,0.0225593615424124
"54","bag",10,0.00385208012326656,72,0.0263736263736264,-0.0225215462503598,0.0225215462503598
"55","wisdom",14,0.00539291217257319,76,0.0278388278388278,-0.0224459156662547,0.0224459156662547
"56","room",157,0.0604776579352851,226,0.0827838827838828,-0.0223062248485977,0.0223062248485977
"57","shout",18,0.00693374422187982,79,0.0289377289377289,-0.0220039847158491,0.0220039847158491
"58","door",175,0.0674114021571649,244,0.0893772893772894,-0.0219658872201245,0.0219658872201245
"59","secur",52,0.0200308166409861,114,0.0417582417582418,-0.0217274251172556,0.0217274251172556
"60","world",99,0.038135593220339,162,0.0593406593406593,-0.0212050661203204,0.0212050661203204
"61","line",116,0.0446841294298921,65,0.0238095238095238,0.0208746056203683,0.0208746056203683
"62","document",96,0.036979969183359,45,0.0164835164835165,0.0204964526998425,0.0204964526998425
"63","open",168,0.0647149460708783,232,0.084981684981685,-0.0202667389108067,0.0202667389108067
"64","gun",74,0.0285053929121726,23,0.00842490842490842,0.0200804844872641,0.0200804844872641
"65","leav",91,0.0350539291217257,41,0.015018315018315,0.0200356141034107,0.0200356141034107
"66","want",108,0.0416024653312789,167,0.0611721611721612,-0.0195696958408823,0.0195696958408823
"67","ill",57,0.0219568567026194,7,0.00256410256410256,0.0193927541385168,0.0193927541385168
"68","space",27,0.0104006163328197,81,0.0296703296703297,-0.0192697133375099,0.0192697133375099
"69","lost",52,0.0200308166409861,107,0.0391941391941392,-0.0191633225531531,0.0191633225531531
"70","nation",6,0.00231124807395994,58,0.0212454212454212,-0.0189341731714613,0.0189341731714613
"71","finger",30,0.0115562403697997,83,0.0304029304029304,-0.0188466900331307,0.0188466900331307
"72","tini",16,0.0061633281972265,68,0.0249084249084249,-0.0187450967111984,0.0187450967111984
"73","plane",54,0.0208012326656394,6,0.0021978021978022,0.0186034304678372,0.0186034304678372
"74","desk",14,0.00539291217257319,65,0.0238095238095238,-0.0184166116369506,0.0184166116369506
"75","messag",112,0.0431432973805855,68,0.0249084249084249,0.0182348724721606,0.0182348724721606
"76","locat",45,0.0173343605546995,97,0.0355311355311355,-0.018196774976436,0.018196774976436
"77","certain",88,0.0338983050847458,43,0.0157509157509158,0.01814738933383,0.01814738933383
"78","air",31,0.0119414483821263,82,0.03003663003663,-0.0180951816545037,0.0180951816545037
"79","turn",240,0.0924499229583975,203,0.0743589743589744,0.0180909485994232,0.0180909485994232
"80","stare",92,0.0354391371340524,146,0.0534798534798535,-0.0180407163458011,0.0180407163458011
"81","sens",116,0.0446841294298921,73,0.0267399267399267,0.0179442026899654,0.0179442026899654
"82","within",64,0.024653312788906,116,0.0424908424908425,-0.0178375297019365,0.0178375297019365
"83","staircas",13,0.00500770416024653,62,0.0227106227106227,-0.0177029185503762,0.0177029185503762
"84","point",99,0.038135593220339,152,0.0556776556776557,-0.0175420624573167,0.0175420624573167
"85","read",65,0.0250385208012327,116,0.0424908424908425,-0.0174523216896098,0.0174523216896098
"86","one",325,0.125192604006163,389,0.142490842490842,-0.0172982384846792,0.0172982384846792
"87","around",96,0.036979969183359,148,0.0542124542124542,-0.0172324850290952,0.0172324850290952
"88","sudden",63,0.0242681047765794,113,0.0413919413919414,-0.017123836615362,0.017123836615362
"89","began",84,0.0323574730354391,135,0.0494505494505494,-0.0170930764151103,0.0170930764151103
"90","water",16,0.0061633281972265,63,0.0230769230769231,-0.0169135948796966,0.0169135948796966
"91","anoth",98,0.0377503852080123,57,0.0208791208791209,0.0168712643288914,0.0168712643288914
"92","noth",83,0.0319722650231125,133,0.0487179487179487,-0.0167456836948362,0.0167456836948362
"93","god",105,0.0404468412942989,156,0.0571428571428571,-0.0166960158485582,0.0166960158485582
"94","breath",47,0.0181047765793528,95,0.0347985347985348,-0.0166937582191819,0.0166937582191819
"95","engrav",11,0.00423728813559322,57,0.0208791208791209,-0.0166418327435277,0.0166418327435277
"96","head",158,0.0608628659476117,211,0.0772893772893773,-0.0164265113417656,0.0164265113417656
"97","femal",54,0.0208012326656394,12,0.0043956043956044,0.016405628270035,0.016405628270035
